Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
345,Open,Center,Focus,Center,Straight Front Ahead,Straight
346,Open,Center,Focus,Center,Straight Front Ahead,Straight
347,Open,Center,Focus,Center,Straight Front Ahead,Straight
348,Open,Center,Focus,Center,Straight Front Ahead,Straight
349,Open,Center,Focus,Center,Straight Front Ahead,Straight
350,Open,Center,Focus,Center,Straight Front Ahead,Straight
351,Open,Center,Focus,Center,Straight Front Ahead,Straight
352,Open,Center,Focus,Center,Straight Front Ahead,Straight
353,Open,Center,Focus,Center,Straight Front Ahead,Straight
354,Open,Center,Focus,Center,Straight Front Ahead,Straight
355,Open,Center,Focus,Center,Straight Front Ahead,Straight
356,Open,Center,Focus,Center,Straight Front Ahead,Straight
357,Open,Center,Focus,Center,Straight Front Ahead,Straight
358,Open,Center,Focus,Center,Straight Front Ahead,Straight
359,Open,Center,Focus,Center,Straight Front Ahead,Straight
360,Closed,Center,Distracted,Center,Front Tilt,Straight
361,Closed,Center,Distracted,Center,Front Tilt,Straight
362,Closed,Center,Distracted,Center,Front Tilt,Straight
363,Closed,Center,Distracted,Center,Front Tilt,Straight
364,Open,Center,Focus,Center,Straight Front Ahead,Straight
365,Open,Center,Focus,Center,Straight Front Ahead,Straight
366,Open,Center,Focus,Center,Straight Front Ahead,Straight
367,Open,Center,Focus,Center,Straight Front Ahead,Straight
368,Open,Center,Focus,Center,Straight Front Ahead,Straight
369,Open,Center,Focus,Center,Straight Front Ahead,Straight
370,Open,Center,Focus,Center,Straight Front Ahead,Straight
371,Open,Center,Focus,Center,Straight Front Ahead,Straight
372,Open,Center,Focus,Center,Straight Front Ahead,Straight
373,Open,Center,Focus,Center,Straight Front Ahead,Straight
374,Open,Center,Focus,Center,Straight Front Ahead,Straight
375,Open,Center,Focus,Center,Straight Front Ahead,Straight
376,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
377,Closed,Center,Distracted,Center,Front Tilt,Straight
378,Closed,Center,Distracted,Center,Front Tilt,Straight
379,Closed,Left,Distracted,Center,Straight Front Ahead,Straight
380,Open,Left,Focus,Center,Straight Front Ahead,Straight
381,Open,Center,Focus,Center,Straight Front Ahead,Straight
382,Open,Center,Focus,Center,Straight Front Ahead,Straight
383,Open,Center,Focus,Center,Straight Front Ahead,Straight
384,Open,Center,Focus,Center,Straight Front Ahead,Straight
385,Open,Center,Focus,Center,Straight Front Ahead,Straight
386,Open,Center,Focus,Center,Straight Front Ahead,Straight
387,Open,Center,Focus,Center,Straight Front Ahead,Straight
388,Open,Center,Focus,Center,Front Tilt,Straight
389,Open,Center,Focus,Center,Front Tilt,Straight
390,Open,Center,Focus,Center,Front Tilt,Straight
391,Open,Center,Focus,Center,Front Tilt,Straight
392,Open,Center,Focus,Center,Front Tilt,Straight
393,Open,Center,Focus,Center,Front Tilt,Straight
394,Open,Left,Focus,Center,Straight Front Ahead,Straight
395,Open,Left,Focus,Center,Straight Front Ahead,Straight
396,Open,Left,Focus,Center,Straight Front Ahead,Straight
397,Open,Center,Focus,Center,Straight Front Ahead,Straight
398,Open,Center,Focus,Center,Straight Front Ahead,Straight
399,Open,Center,Focus,Center,Straight Front Ahead,Straight
400,Open,Center,Focus,Center,Straight Front Ahead,Straight
401,Open,Center,Focus,Center,Straight Front Ahead,Straight
402,Open,Center,Focus,Center,Straight Front Ahead,Straight
403,Open,Center,Focus,Center,Straight Front Ahead,Straight
404,Open,Center,Focus,Center,Straight Front Ahead,Straight
405,Open,Center,Focus,Center,Straight Front Ahead,Straight
406,Open,Center,Focus,Center,Straight Front Ahead,Straight
407,Open,Center,Focus,Center,Straight Front Ahead,Straight
408,Open,Center,Focus,Center,Straight Front Ahead,Straight
409,Open,Center,Focus,Center,Straight Front Ahead,Straight
410,Open,Center,Focus,Center,Straight Front Ahead,Straight
411,Open,Center,Focus,Center,Straight Front Ahead,Straight
412,Open,Center,Focus,Center,Straight Front Ahead,Straight
413,Open,Center,Focus,Center,Straight Front Ahead,Straight
414,Open,Center,Focus,Center,Straight Front Ahead,Straight
415,Open,Center,Focus,Center,Front Tilt,Straight
416,Open,Center,Focus,Center,Front Tilt,Straight
417,Open,Center,Focus,Center,Front Tilt,Straight
418,Open,Center,Focus,Center,Front Tilt,Straight
419,Open,Center,Focus,Center,Front Tilt,Straight
420,Open,Center,Focus,Center,Straight Front Ahead,Straight
421,Closed,Center,Distracted,Center,Front Tilt,Straight
422,Closed,Center,Distracted,Center,Front Tilt,Straight
423,Closed,Center,Distracted,Center,Front Tilt,Straight
424,Closed,Center,Distracted,Center,Straight Front Ahead,Straight
425,Open,Center,Focus,Center,Straight Front Ahead,Straight
426,Open,Center,Focus,Center,Straight Front Ahead,Straight
427,Open,Center,Focus,Center,Front Tilt,Straight
428,Open,Center,Focus,Center,Front Tilt,Straight
429,Open,Center,Focus,Center,Front Tilt,Straight
430,Open,Center,Focus,Center,Front Tilt,Straight
431,Open,Center,Focus,Center,Front Tilt,Straight
432,Open,Center,Focus,Center,Front Tilt,Straight
433,Open,Center,Focus,Center,Front Tilt,Straight
434,Open,Center,Focus,Center,Front Tilt,Straight
435,Open,Center,Focus,Center,Front Tilt,Straight
436,Open,Center,Focus,Center,Front Tilt,Straight
437,Open,Center,Focus,Center,Front Tilt,Straight
438,Open,Center,Focus,Center,Front Tilt,Straight
439,Open,Center,Focus,Center,Front Tilt,Straight
440,Open,Center,Focus,Center,Front Tilt,Straight
441,Open,Center,Focus,Center,Front Tilt,Straight
442,Open,Center,Focus,Center,Front Tilt,Straight
443,Open,Center,Focus,Center,Front Tilt,Straight
444,Open,Center,Focus,Center,Front Tilt,Straight
445,Open,Center,Focus,Center,Straight Front Ahead,Straight
446,Open,Center,Focus,Center,Straight Front Ahead,Straight
447,Open,Center,Focus,Center,Straight Front Ahead,Straight
448,Open,Center,Focus,Center,Straight Front Ahead,Straight
449,Closed,Center,Distracted,Center,Front Tilt,Straight
450,Closed,Center,Distracted,Center,Front Tilt,Straight
451,Closed,Center,Distracted,Center,Front Tilt,Straight
452,Open,Center,Focus,Center,Straight Front Ahead,Straight
453,Open,Center,Focus,Center,Front Tilt,Straight
454,Open,Center,Focus,Center,Front Tilt,Straight
455,Open,Center,Focus,Center,Front Tilt,Straight
456,Open,Center,Focus,Center,Front Tilt,Straight
457,Open,Center,Focus,Center,Front Tilt,Straight
458,Open,Center,Focus,Center,Front Tilt,Straight
459,Open,Center,Focus,Center,Front Tilt,Straight
460,Open,Center,Focus,Center,Front Tilt,Straight
461,Open,Center,Focus,Center,Front Tilt,Straight
462,Open,Center,Focus,Center,Front Tilt,Straight
463,Open,Center,Focus,Center,Front Tilt,Straight
464,Open,Left,Focus,Center,Front Tilt,Straight
465,Open,Center,Focus,Center,Front Tilt,Straight
466,Open,Center,Focus,Center,Front Tilt,Straight
467,Open,Left,Focus,Center,Front Tilt,Straight
468,Open,Left,Focus,Center,Front Tilt,Straight
469,Closed,Center,Distracted,Center,Front Tilt,Straight
470,Closed,Center,Distracted,Center,Front Tilt,Straight
471,Closed,Center,Distracted,Center,Front Tilt,Straight
472,Closed,Center,Distracted,Center,Front Tilt,Straight
473,Closed,Center,Distracted,Center,Front Tilt,Straight
474,Closed,Center,Distracted,Center,Front Tilt,Straight
475,Closed,Center,Distracted,Center,Front Tilt,Straight
476,Closed,Center,Distracted,Center,Front Tilt,Straight
477,Closed,Center,Distracted,Center,Front Tilt,Straight
478,Closed,Center,Distracted,Center,Front Tilt,Straight
479,Closed,Center,Distracted,Center,Front Tilt,Straight
